bench,threshold_model,performance_range,sample_size,start_date,end_date,price_reduction_factor_per_year,price_reduction_factor_per_year_90_ci,r_squared
MMLU,GPT-3,"[43.9, 100]",9,2021-11-20,2024-10-03,11.772872667426151,"[8.287354506876559, 16.724339561970456]",0.96
MMLU,GPT-3.5,"[64.8, 100]",7,2022-11-30,2024-10-03,15.830914761762989,"[8.054664913158714, 31.114623003717604]",0.93
MMLU,GPT-3.5 Turbo,"[68.0, 100]",6,2023-03-06,2024-10-03,9.34724894739857,"[4.800970684806941, 18.19862453256306]",0.93
MMLU,GPT-4-0314,"[86.0, 100]",5,2023-03-14,2025-02-05,15.85676156770196,"[4.085681392676409, 61.54099237048954]",0.88
MMLU,GPT-4 Turbo,"[87.0, 100]",5,2023-11-06,2025-02-05,35.791221662400446,"[5.026995585266262, 254.8264716686105]",0.86
GPQA Diamond,GPT-4-0314,"[33.0, 100]",6,2023-03-14,2024-12-13,42.0189988368494,"[4.398155473320801, 401.44016598804956]",0.76
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",6,2023-11-06,2024-12-13,46.246021561114674,"[3.7864365251220664, 564.8304140426959]",0.73
GPQA Diamond,GPT-4o-2024-05,"[53.0, 100]",4,2024-05-13,2024-12-13,851.1622038749446,"[6.1767855524077975, 117290.31081916738]",0.89
GPQA Diamond,Claude-3.5-Sonnet-2024-06,"[56.0, 100]",4,2024-06-20,2025-02-05,251.15711308883266,"[41.56132345563141, 1517.7547346984131]",0.98
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",6,2023-06-13,2024-10-03,18.02982343875724,"[11.243954711671815, 28.911049676793496]",0.98
MATH-500,GPT-4 Turbo,"[74.0, 100]",6,2023-11-06,2024-12-13,172.26182003815543,"[13.730106795262005, 2161.24572702507]",0.82
MATH-500,GPT-4o-2024-05,"[79.0, 100]",4,2024-05-13,2024-12-13,689.0799024380077,"[0.1197002513598262, 3966834.7104518856]",0.71
MATH 5,GPT-4-0613,"[23.0, 100]",5,2023-06-13,2024-12-13,72.63549281313398,"[6.039079050021591, 873.6290372267898]",0.85
MATH 5,GPT-4 Turbo,"[36.0, 100]",6,2023-11-06,2024-12-13,159.5525791437889,"[12.339533392052168, 2063.046040933102]",0.82
MATH 5,GPT-4o-2024-05,"[48.0, 100]",4,2024-05-13,2024-12-13,689.0799024380077,"[0.1197002513598262, 3966834.7104518856]",0.71
HumanEval,GPT-4-0314,"[67.0, 100]",7,2023-03-14,2024-07-23,36.822471772292936,"[14.34122572881695, 94.5452259841922]",0.92
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",6,2023-06-13,2024-12-13,9.240250279099344,"[4.832723864099762, 17.66751579883625]",0.93
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",7,2023-03-06,2024-10-03,9.605140145319366,"[5.258629304647338, 17.544251907943323]",0.92
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",6,2023-03-14,2024-10-03,75.31861757587912,"[7.555868410004079, 750.7931379575824]",0.8
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",5,2023-11-06,2024-09-24,245.5140536105096,"[4.233635773082607, 14237.679798414734]",0.77
LMSys Chatbot Arena ELO,GPT-4o-2024-05,"[1285.0, inf]",5,2024-05-13,2025-02-05,176.96047076161705,"[39.13465053498507, 800.1862233106846]",0.96
